,dt,temp_C,temp_min_C,temp_max_C,wind_speed,dt_minus_1h,temp_F
0,2022-04-05 00:00:00,12.04,10.52,12.04,4.96,2022-04-04 23:00:00,53.672
1,2022-04-05 03:00:00,11.05,10.18,11.05,4.49,2022-04-05 02:00:00,51.89
2,2022-04-05 06:00:00,10.19,10.19,10.19,4.54,2022-04-05 05:00:00,50.342
3,2022-04-05 09:00:00,11.95,11.95,11.95,5.63,2022-04-05 08:00:00,53.51
4,2022-04-05 12:00:00,12.44,12.44,12.44,5.44,2022-04-05 11:00:00,54.391999999999996
5,2022-04-05 15:00:00,13.77,13.77,13.77,6.31,2022-04-05 14:00:00,56.786
6,2022-04-05 18:00:00,11.02,11.02,11.02,5.27,2022-04-05 17:00:00,51.836
7,2022-04-05 21:00:00,9.48,9.48,9.48,5.98,2022-04-05 20:00:00,49.064
8,2022-04-06 00:00:00,10.08,10.08,10.08,6.08,2022-04-05 23:00:00,50.144000000000005
9,2022-04-06 03:00:00,9.58,9.58,9.58,6.4,2022-04-06 02:00:00,49.244
10,2022-04-06 06:00:00,9.46,9.46,9.46,5.82,2022-04-06 05:00:00,49.028000000000006
11,2022-04-06 09:00:00,11.14,11.14,11.14,6.02,2022-04-06 08:00:00,52.05200000000001
12,2022-04-06 12:00:00,12.06,12.06,12.06,7.48,2022-04-06 11:00:00,53.708
13,2022-04-06 15:00:00,12.47,12.47,12.47,8.4,2022-04-06 14:00:00,54.446
14,2022-04-06 18:00:00,10.61,10.61,10.61,7.45,2022-04-06 17:00:00,51.098
15,2022-04-06 21:00:00,9.07,9.07,9.07,7.7,2022-04-06 20:00:00,48.326
16,2022-04-07 00:00:00,9.37,9.37,9.37,9.73,2022-04-06 23:00:00,48.866
17,2022-04-07 03:00:00,7.76,7.76,7.76,9.71,2022-04-07 02:00:00,45.968
18,2022-04-07 06:00:00,5.69,5.69,5.69,8.11,2022-04-07 05:00:00,42.242000000000004
19,2022-04-07 09:00:00,8.18,8.18,8.18,7.26,2022-04-07 08:00:00,46.724000000000004
20,2022-04-07 12:00:00,8.95,8.95,8.95,6.04,2022-04-07 11:00:00,48.11
21,2022-04-07 15:00:00,10.49,10.49,10.49,6.51,2022-04-07 14:00:00,50.882000000000005
22,2022-04-07 18:00:00,8.65,8.65,8.65,4.06,2022-04-07 17:00:00,47.57
23,2022-04-07 21:00:00,6.68,6.68,6.68,3.05,2022-04-07 20:00:00,44.024
24,2022-04-08 00:00:00,5.39,5.39,5.39,2.12,2022-04-07 23:00:00,41.702
25,2022-04-08 03:00:00,4.53,4.53,4.53,1.49,2022-04-08 02:00:00,40.153999999999996
26,2022-04-08 06:00:00,4.17,4.17,4.17,1.71,2022-04-08 05:00:00,39.506
27,2022-04-08 09:00:00,6.82,6.82,6.82,3.95,2022-04-08 08:00:00,44.276
28,2022-04-08 12:00:00,10.07,10.07,10.07,4.85,2022-04-08 11:00:00,50.126000000000005
29,2022-04-08 15:00:00,11.27,11.27,11.27,5.43,2022-04-08 14:00:00,52.286
30,2022-04-08 18:00:00,9.28,9.28,9.28,4.29,2022-04-08 17:00:00,48.704
31,2022-04-08 21:00:00,6.28,6.28,6.28,2.85,2022-04-08 20:00:00,43.304
32,2022-04-09 00:00:00,4.58,4.58,4.58,3.74,2022-04-08 23:00:00,40.244
33,2022-04-09 03:00:00,3.16,3.16,3.16,2.74,2022-04-09 02:00:00,37.688
34,2022-04-09 06:00:00,2.61,2.61,2.61,2.2,2022-04-09 05:00:00,36.698
35,2022-04-09 09:00:00,7.1,7.1,7.1,3.84,2022-04-09 08:00:00,44.78
36,2022-04-09 12:00:00,10.52,10.52,10.52,5.12,2022-04-09 11:00:00,50.936
37,2022-04-09 15:00:00,9.93,9.93,9.93,5.93,2022-04-09 14:00:00,49.873999999999995
38,2022-04-09 18:00:00,8.99,8.99,8.99,3.23,2022-04-09 17:00:00,48.182
39,2022-04-09 21:00:00,6.23,6.23,6.23,1.3,2022-04-09 20:00:00,43.214
